Completion time,Title,section_canon,Include,gold_in_115,link,description,Submitter
2026-06-08 09:05:14,"‘I love it, but I hate it’ – Young people’s experiences and expectations of growing up digital",what_matters_ed,Included,False,https://www.nuffieldfoundation.org/evidence-and-impact/our-programmes/grown-up/i-love-it-but-i-hate-it?utm_source=salesforce&utm_medium=email&utm_campaign=loveithateit&mc_cid=194f61e7a9&mc_eid=a3ff0c11d7,This report presents new evidence about the experiences and expectations of the first generation of young people growing up with digital technology in early twenty-first century Britain.  ,RF
2026-06-08 09:07:42,Parental support for a social media minimum age of 16,political_environment_key_organisations,Exclude? support for policy not research,False,https://www.gov.uk/government/publications/parental-support-for-a-social-media-minimum-age-of-16?utm_medium=email&utm_campaign=govuk-notifications-topic&utm_source=5efbbbd2-c92b-4452-86dc-a638e89d7dc5&utm_content=daily,Preliminary analysis of the consultation responses from the 'Growing up in the online world' consultation.,RF
2026-06-08 09:09:37,Breakfast club early adopters: interim evaluation,political_environment_key_organisations,Included,False,https://www.gov.uk/government/publications/breakfast-club-early-adopters-interim-evaluation?utm_medium=email&utm_campaign=govuk-notifications-topic&utm_source=c148dbf2-ed05-4790-9131-1f7a0bc5e34a&utm_content=daily,Reports on how free breakfast clubs in the early adopter scheme work in practice and how families experience them.,RF
2026-06-08 09:19:22,School workforce in England 2025,teacher_rrd,Delete,False,https://explore-education-statistics.service.gov.uk/find-statistics/school-workforce-in-england/2025,"Annual statistics on teachers and support staff (TAs) in England., including age, sex, ethnicity, pupil teacher ratio (PTR), retention, pay, subject taught and absence.",RF
2026-06-08 09:23:57,"Falling pupil numbers should lead to smaller class sizes, says union",teacher_rrd,Included,False,https://www.bbc.co.uk/news/articles/crrpg7rgelro,Following the DfE report on teacher numbers the NEU calls for the government to cut class sizes instead of teacher recruitment.,RF
2026-06-08 14:27:48,Ofsted: It is time for a primary-specific inspection framework?,policy_practice_research,Exclude - out of date,False,https://www.headteacher-update.com/content/opinion/primary-specific-inspection?utm_source=content_recommendation&utm_medium=blueconic,Peter Cansell and Philip Marples argue that a distinct model for primary school and early years inspection is sorely needed.,GM
2026-06-08 16:49:36,Invitation to inspection: A shared quest for improvement ,what_matters_ed,Included 115,True,https://www.headteacher-update.com/content/best-practice/rethinking-ofsted-collaborative-inspection-model,"Peter Cansell and Philip Marples set out a a radical new model of inspection in which primary schools would choose their inspection date, feedback would be constructive, and judgements narrative. ",GM
2026-06-09 14:26:52,Call for Contributions to a new report on: Equitable Access to Play Across the North of England,policy_practice_research,Included,False,https://www.n8research.org.uk/call-for-contributions-equitable-access-to-play/,"Submissions can cover activity in any setting where play happens: communities, schools, homes, streets and neighbourhoods, public spaces or online. They are particularly interested in evidence, case studies, programmes and policies from the North of England .",GM
2026-06-09 15:06:54,Fairness in school exclusions: A roadmap for change,policy_practice_research,Included,False,https://www.coram.org.uk/resource/fairness-in-school-exclusions/,A report highlighting how children with the greatest level of need can lose access to education through informal exclusionary practices with little transparency or independent scrutiny,
2026-06-09 15:33:06,Ministers to issue guidance on children's screen use,policy_practice_research,Included,False,https://www.bbc.co.uk/news/articles/ce37wlg1kl3o,The government has launched a three-week call for evidence to inform guidance - which will be published in the autumn - to give parents advice on healthy screen use,GM
